Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,IS
2,4.9,3.0,1.4,0.2,IS
3,4.7,3.2,1.3,0.2,IS
4,4.6,3.1,1.5,0.2,IS
5,5.0,3.6,1.4,0.2,IS
6,5.4,3.9,1.7,0.4,IS
7,4.6,3.4,1.4,0.3,IS
8,5.0,3.4,1.5,0.2,IS
9,4.4,2.9,1.4,0.2,IS
10,4.9,3.1,1.5,0.1,IS
11,5.4,3.7,1.5,0.2,IS
12,4.8,3.4,1.6,0.2,IS
13,4.8,3.0,1.4,0.1,IS
14,4.3,3.0,1.1,0.1,IS
15,5.8,4.0,1.2,0.2,IS
16,5.7,4.4,1.5,0.4,IS
17,5.4,3.9,1.3,0.4,IS
18,5.1,3.5,1.4,0.3,IS
19,5.7,3.8,1.7,0.3,IS
20,5.1,3.8,1.5,0.3,IS
21,5.4,3.4,1.7,0.2,IS
22,5.1,3.7,1.5,0.4,IS
23,4.6,3.6,1.0,0.2,IS
24,5.1,3.3,1.7,0.5,IS
25,4.8,3.4,1.9,0.2,IS
26,5.0,3.0,1.6,0.2,IS
27,5.0,3.4,1.6,0.4,IS
28,5.2,3.5,1.5,0.2,IS
29,5.2,3.4,1.4,0.2,IS
30,4.7,3.2,1.6,0.2,IS
31,4.8,3.1,1.6,0.2,IS
32,5.4,3.4,1.5,0.4,IS
33,5.2,4.1,1.5,0.1,IS
34,5.5,4.2,1.4,0.2,IS
35,4.9,3.1,1.5,0.1,IS
36,5.0,3.2,1.2,0.2,IS
37,5.5,3.5,1.3,0.2,IS
38,4.9,3.1,1.5,0.1,IS
39,4.4,3.0,1.3,0.2,IS
40,5.1,3.4,1.5,0.2,IS
41,5.0,3.5,1.3,0.3,IS
42,4.5,2.3,1.3,0.3,IS
43,4.4,3.2,1.3,0.2,IS
44,5.0,3.5,1.6,0.6,IS
45,5.1,3.8,1.9,0.4,IS
46,4.8,3.0,1.4,0.3,IS
47,5.1,3.8,1.6,0.2,IS
48,4.6,3.2,1.4,0.2,IS
49,5.3,3.7,1.5,0.2,IS
50,5.0,3.3,1.4,0.2,IS
51,7.0,3.2,4.7,1.4,IV1
52,6.4,3.2,4.5,1.5,IV1
53,6.9,3.1,4.9,1.5,IV1
54,5.5,2.3,4.0,1.3,IV1
55,6.5,2.8,4.6,1.5,IV1
56,5.7,2.8,4.5,1.3,IV1
57,6.3,3.3,4.7,1.6,IV1
58,4.9,2.4,3.3,1.0,IV1
